DATE,GDPA
2012-01-01,16253.97
2013-01-01,16843.196
2014-01-01,17550.687
2015-01-01,18206.023
2016-01-01,18695.106
2017-01-01,19479.623
2018-01-01,20527.159
2019-01-01,21372.582
2020-01-01,20893.746
2021-01-01,22997.501
