id,zip,Geographic Area Name,Households_Total,Households_Median,Households_Mean,families_mean,Married-couple_mean,Nonfamily_mean
8600000US18837,18837,ZCTA5 18837,1206,45161,57947,63430,N,36052
8600000US18840,18840,ZCTA5 18840,4648,48731,58263,70390,N,31610
8600000US18842,18842,ZCTA5 18842,92,53542,75388,82262,N,45137
8600000US18843,18843,ZCTA5 18843,73,49097,59429,81579,N,29419
8600000US18844,18844,ZCTA5 18844,694,60294,66564,73479,N,42599
8600000US18845,18845,ZCTA5 18845,133,50179,73124,88933,N,40411
8600000US18846,18846,ZCTA5 18846,308,55781,63661,60186,N,58246
8600000US18847,18847,ZCTA5 18847,2279,38404,51074,56908,N,34871
8600000US18848,18848,ZCTA5 18848,3589,48580,62185,67006,N,49753
8600000US18850,18850,ZCTA5 18850,827,50234,59191,65658,N,37521
8600000US18851,18851,ZCTA5 18851,332,44000,57920,66323,N,31013
8600000US18853,18853,ZCTA5 18853,1663,55795,68929,78391,N,41260
8600000US18854,18854,ZCTA5 18854,527,52750,72430,83898,N,43581
8600000US18901,18901,ZCTA5 18901,10356,84056,114680,149727,N,59793
8600000US18902,18902,ZCTA5 18902,7069,113606,139897,156265,N,70089
8600000US18912,18912,ZCTA5 18912,3,-,N,N,N,-
8600000US18913,18913,ZCTA5 18913,45,185337,165429,N,N,N
8600000US18914,18914,ZCTA5 18914,7278,101522,118150,131096,N,59220
8600000US18915,18915,ZCTA5 18915,314,94844,151454,163378,N,62189
8600000US18917,18917,ZCTA5 18917,855,52109,70088,80226,N,48738
8600000US18920,18920,ZCTA5 18920,91,98194,120674,111198,N,131729
8600000US18923,18923,ZCTA5 18923,335,115221,135244,135346,N,134746
8600000US18925,18925,ZCTA5 18925,2217,125750,157196,164325,N,104857
8600000US18929,18929,ZCTA5 18929,2690,133226,155256,167538,N,100241
8600000US18930,18930,ZCTA5 18930,988,83438,93481,102777,N,59124
8600000US18932,18932,ZCTA5 18932,173,75750,76748,79713,N,71020
8600000US18935,18935,ZCTA5 18935,10,-,N,N,N,-
8600000US18936,18936,ZCTA5 18936,12,-,N,N,N,-
8600000US18938,18938,ZCTA5 18938,6006,96685,146985,186111,N,77295
8600000US18940,18940,ZCTA5 18940,10718,114423,159101,181161,N,82913
8600000US18942,18942,ZCTA5 18942,1238,72442,86552,91124,N,55296
8600000US18944,18944,ZCTA5 18944,9143,78312,89090,101952,N,52443
8600000US18947,18947,ZCTA5 18947,2227,115725,132914,151145,N,57943
8600000US18950,18950,ZCTA5 18950,84,133800,120538,149652,N,N
8600000US18951,18951,ZCTA5 18951,12793,66162,82951,96504,N,44868
8600000US18954,18954,ZCTA5 18954,3134,120959,146178,154263,N,82143
8600000US18955,18955,ZCTA5 18955,546,63629,67651,74944,N,44770
8600000US18960,18960,ZCTA5 18960,4837,68159,80868,95013,N,46311
8600000US18962,18962,ZCTA5 18962,235,64712,81488,99814,N,29629
8600000US18964,18964,ZCTA5 18964,5203,71442,86528,101697,N,39664
8600000US18966,18966,ZCTA5 18966,13991,88549,105899,124966,N,46305
8600000US18969,18969,ZCTA5 18969,5443,75465,93455,105347,N,52999
8600000US18970,18970,ZCTA5 18970,296,69286,72251,79696,N,47706
8600000US18972,18972,ZCTA5 18972,1443,62689,79635,92003,N,46876
8600000US18974,18974,ZCTA5 18974,15653,66758,82833,97287,N,48242
8600000US18976,18976,ZCTA5 18976,6763,89817,109994,124474,N,57173
8600000US18977,18977,ZCTA5 18977,1497,150104,175080,188251,N,91600
8600000US18980,18980,ZCTA5 18980,188,96000,104745,115986,N,60430
8600000US19001,19001,ZCTA5 19001,6214,68345,86944,100262,N,47413
8600000US19002,19002,ZCTA5 19002,12289,100326,146965,178966,N,54850
8600000US19003,19003,ZCTA5 19003,5117,76496,104118,140069,N,59801
8600000US19004,19004,ZCTA5 19004,3745,104933,162854,196025,N,87449
8600000US19006,19006,ZCTA5 19006,7714,90234,118644,141836,N,50846
8600000US19007,19007,ZCTA5 19007,7967,48032,55840,66393,N,34655
8600000US19008,19008,ZCTA5 19008,7167,72580,95005,107583,N,53481
8600000US19009,19009,ZCTA5 19009,270,76111,95622,116219,N,38908
8600000US19010,19010,ZCTA5 19010,7375,103737,171175,241618,N,68489
8600000US19012,19012,ZCTA5 19012,2337,86555,103789,112158,N,69048
8600000US19013,19013,ZCTA5 19013,12269,27289,41335,47702,75955,29501
8600000US19014,19014,ZCTA5 19014,7472,75373,85038,97889,N,53669
8600000US19015,19015,ZCTA5 19015,6415,55788,65817,76403,N,42375
8600000US19017,19017,ZCTA5 19017,117,77107,125070,132245,N,N
8600000US19018,19018,ZCTA5 19018,9293,56264,65421,75487,N,46265
8600000US19020,19020,ZCTA5 19020,21352,60657,75054,86097,N,50770
8600000US19021,19021,ZCTA5 19021,3662,57052,65053,74821,N,37651
8600000US19022,19022,ZCTA5 19022,1351,39243,44715,52242,N,33782
8600000US19023,19023,ZCTA5 19023,7407,38790,52667,56707,N,40803
8600000US19025,19025,ZCTA5 19025,1990,110000,148623,169748,N,58537
8600000US19026,19026,ZCTA5 19026,11885,66783,80785,99640,N,44733
8600000US19027,19027,ZCTA5 19027,7918,69793,101920,124407,N,56689
8600000US19029,19029,ZCTA5 19029,1588,50756,67468,82567,N,38838
8600000US19030,19030,ZCTA5 19030,4567,61776,69305,83941,N,37265
8600000US19031,19031,ZCTA5 19031,1882,82917,112553,137193,N,68587
8600000US19032,19032,ZCTA5 19032,2340,54388,61673,62715,N,45928
8600000US19033,19033,ZCTA5 19033,3261,63216,73025,85291,N,45272
8600000US19034,19034,ZCTA5 19034,1954,112813,168524,209790,N,53299
8600000US19035,19035,ZCTA5 19035,1386,161667,308739,362290,N,112362
8600000US19036,19036,ZCTA5 19036,5340,53364,63065,75220,N,41704
8600000US19038,19038,ZCTA5 19038,11176,82275,102373,118331,N,57287
8600000US19040,19040,ZCTA5 19040,7865,69807,82213,97709,N,45331
8600000US19041,19041,ZCTA5 19041,2338,123080,193586,267372,N,104603
